"id","ingredient"
66102450266,"4 1/2 cups all-purpose flour"
66102450266,"2 teaspoons baking soda"
66102450266,"2 cups butter, softened"
66102450266,"1 1/2 cups packed brown sugar"
66102450266,"1/2 cup white sugar"
66102450266,"2 (3.4 ounce) packages instant vanilla pudding mix"
66102450266,"4 eggs"
66102450266,"2 teaspoons vanilla extract"
66102450266,"4 cups semisweet chocolate chips"
66102450266,"2 cups chopped walnuts (optional)"
66102450266,"1 cup light brown sugar"
66102450266,"1/4 cup white sugar"
66102450266,"1/2 cup butter"
66102450266,"2 eggs"
66102450266,"1 tablespoon all-purpose flour"
66102450266,"1 tablespoon milk"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 cup chopped pecans"
66102450266,"1/2 cup shortening"
66102450266,"1/2 cup margarine, softened"
66102450266,"1 cup packed brown sugar"
66102450266,"3/4 cup white sugar"
66102450266,"1 cup peanut butter"
66102450266,"2 eggs"
66102450266,"1 1/2 cups all-purpose flour"
66102450266,"2 teaspoons baking soda"
66102450266,"1 teaspoon salt"
66102450266,"1 cup quick-cooking oats"
66102450266,"1 cup graham cracker crumbs"
66102450266,"1/2 cup finely chopped pecans"
66102450266,"3 tablespoons white sugar"
66102450266,"1/2 teaspoon ground cinnamon"
66102450266,"1/4 cup unsalted butter, melted"
66102450266,"2 (8 ounce) packages cream cheese, softened"
66102450266,"1/2 cup white sugar"
66102450266,"2 eggs"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"4 cups apples - peeled, cored and thinly sliced"
66102450266,"1/3 cup white sugar"
66102450266,"1/2 teaspoon ground cinnamon"
66102450266,"1/4 cup chopped pecans"
66102450266,"1 (7 ounce) jar marshmallow creme"
66102450266,"1 1/2 cups white sugar"
66102450266,"2/3 cup evaporated milk"
66102450266,"1/4 cup butter"
66102450266,"1/4 teaspoon salt"
66102450266,"2 cups milk chocolate chips"
66102450266,"1 cup semisweet chocolate chips"
66102450266,"1/2 cup chopped nuts"
66102450266,"1 teaspoon vanilla extract"
66102450266,"2 1/4 cups all-purpose flour"
66102450266,"2 teaspoons ground ginger"
66102450266,"1 teaspoon baking soda"
66102450266,"3/4 teaspoon ground cinnamon"
66102450266,"1/2 teaspoon ground cloves"
66102450266,"1/4 teaspoon salt"
66102450266,"3/4 cup margarine, softened"
66102450266,"1 cup white sugar"
66102450266,"1 egg"
66102450266,"1 tablespoon water"
66102450266,"1/4 cup molasses"
66102450266,"2 tablespoons white sugar"
66102450266,"1 1/2 cups butter, softened"
66102450266,"2 cups white sugar"
66102450266,"4 eggs"
66102450266,"1 teaspoon vanilla extract"
66102450266,"5 cups all-purpose flour"
66102450266,"2 teaspoons baking powder"
66102450266,"1 teaspoon salt"
66102450266,"3 large McIntosh apples - peeled, cored, and chopped"
66102450266,"1/4 cup water"
66102450266,"2 tablespoons white sugar"
66102450266,"1/2 teaspoon ground cinnamon, or to taste"
66102450266,"2 cups all-purpose flour"
66102450266,"2 cups rolled oats"
66102450266,"1 1/2 cups brown sugar"
66102450266,"1 teaspoon ground cinnamon"
66102450266,"1/2 teaspoon ground nutmeg (optional)"
66102450266,"1 1/2 cups butter"
66102450266,"2 (8 ounce) packages cream cheese, softened"
66102450266,"1 cup white sugar"
66102450266,"1 teaspoon Mexican vanilla extract"
66102450266,"2 (8 ounce) cans refrigerated crescent rolls"
66102450266,"3/4 cup white sugar"
66102450266,"1 teaspoon ground cinnamon"
66102450266,"1/2 cup butter, room temperature"
66102450266,"1/4 cup honey"
66102450266,"1 (9 inch) prepared graham cracker crust"
66102450266,"3 cups sweetened condensed milk"
66102450266,"1/2 cup sour cream"
66102450266,"3/4 cup key lime juice"
66102450266,"1 tablespoon grated lime zest"
66102450266,"2 cups white sugar"
66102450266,"1 1/2 cups vegetable oil"
66102450266,"2 teaspoons vanilla extract"
66102450266,"3 eggs"
66102450266,"3 cups all-purpose flour"
66102450266,"1 teaspoon baking soda"
66102450266,"1/2 teaspoon ground cinnamon"
66102450266,"1 teaspoon salt"
66102450266,"2 medium Granny Smith apples - peeled, cored and chopped"
66102450266,"1 cup chopped walnuts"
